Date,Actual,Predicted,Model
2024-08-05,0.12886549670538527,0.14715194702148438,Hybrid GARCH+ML
2024-08-06,0.1413128530412648,0.14529503397512744,Historical Volatility
2024-08-06,0.1413128530412648,0.16566702035496705,GARCH
2024-08-06,0.1413128530412648,0.15757626372534286,Random Forest
2024-08-06,0.1413128530412648,0.15696942806243896,XGBoost
2024-08-06,0.1413128530412648,0.16235674917697906,Hybrid GARCH+ML
2024-08-07,0.10923157684041802,0.14852725841766137,Historical Volatility
2024-08-07,0.10923157684041802,0.16566702035496705,GARCH
2024-08-07,0.10923157684041802,0.1645331901537222,Random Forest
2024-08-07,0.10923157684041802,0.1623268723487854,XGBoost
2024-08-07,0.10923157684041802,0.15930113196372986,Hybrid GARCH+ML
2024-08-08,0.15020816594673753,0.13345260682354865,Historical Volatility
2024-08-08,0.15020816594673753,0.16566702035496705,GARCH
2024-08-08,0.15020816594673753,0.16849934655319074,Random Forest
2024-08-08,0.15020816594673753,0.17135199904441833,XGBoost
2024-08-08,0.15020816594673753,0.1662835031747818,Hybrid GARCH+ML
2024-08-09,0.13139203039216704,0.13827317788826668,Historical Volatility
2024-08-09,0.13139203039216704,0.16566702035496705,GARCH
2024-08-09,0.13139203039216704,0.16426521463412652,Random Forest
2024-08-09,0.13139203039216704,0.15909849107265472,XGBoost
2024-08-09,0.13139203039216704,0.15944673120975494,Hybrid GARCH+ML
2024-08-12,0.13620103121852803,0.13835967113716258,Historical Volatility
2024-08-12,0.13620103121852803,0.16566702035496705,GARCH
2024-08-12,0.13620103121852803,0.15350105937238642,Random Forest
2024-08-12,0.13620103121852803,0.15380850434303284,XGBoost
2024-08-12,0.13620103121852803,0.1496753692626953,Hybrid GARCH+ML
2024-08-13,0.12353122912428237,0.14178970799262045,Historical Volatility
2024-08-13,0.12353122912428237,0.16566702035496705,GARCH
2024-08-13,0.12353122912428237,0.158948311609994,Random Forest
2024-08-13,0.12353122912428237,0.1620955765247345,XGBoost
2024-08-13,0.12353122912428237,0.15259721875190735,Hybrid GARCH+ML
2024-08-14,0.12408825991120326,0.14126047750093956,Historical Volatility
2024-08-14,0.12408825991120326,0.16566702035496705,GARCH
2024-08-14,0.12408825991120326,0.16270866082151422,Random Forest
2024-08-14,0.12408825991120326,0.16205748915672302,XGBoost
2024-08-14,0.12408825991120326,0.16375938057899475,Hybrid GARCH+ML
2024-08-16,0.04445058505952554,0.15275324266420162,Historical Volatility
2024-08-16,0.04445058505952554,0.16566702035496705,GARCH
2024-08-16,0.04445058505952554,0.14250140021056776,Random Forest
2024-08-16,0.04445058505952554,0.13615792989730835,XGBoost
2024-08-16,0.04445058505952554,0.14103005826473236,Hybrid GARCH+ML
2024-08-19,0.0688865318647934,0.15224810146682438,Historical Volatility
2024-08-19,0.0688865318647934,0.16566702035496705,GARCH
2024-08-19,0.0688865318647934,0.1376836475785182,Random Forest
2024-08-19,0.0688865318647934,0.13427962362766266,XGBoost
2024-08-19,0.0688865318647934,0.13355672359466553,Hybrid GARCH+ML
2024-08-20,0.0585398684539856,0.15294289244530057,Historical Volatility
